date,weekday,dayofmonth,num_weekdayofmonth,,week_num,datestring
2020-08-20,Thu,20,6,3,Thu-3,2020-08-20
2020-08-21,Fri,21,7,3,Fri-3,2020-08-21
2020-08-22,Sat,22,1,4,Sat-4,2020-08-22
2020-08-23,Sun,23,2,4,Sun-4,2020-08-23
2020-08-24,Mon,24,3,4,Mon-4,2020-08-24
2020-08-25,Tue,25,4,4,Tue-4,2020-08-25
2020-08-26,Wed,26,5,4,Wed-4,2020-08-26
2020-08-27,Thu,27,6,4,Thu-4,2020-08-27
2020-08-28,Fri,28,7,4,Fri-4,2020-08-28
2020-08-29,Sat,29,1,5,Sat-5,2020-08-29
2020-08-30,Sun,30,2,5,Sun-5,2020-08-30
2020-08-31,Mon,31,3,5,Mon-5,2020-08-31
2020-09-01,Tue,1,1,1,Tue-1,2020-09-01
2020-09-02,Wed,2,2,1,Wed-1,2020-09-02
2020-09-03,Thu,3,3,1,Thu-1,2020-09-03
